month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
10,4,3,4.0,3.0,0,1,195500.0,182000.0,False,True,False,295000
2,1,0,4.5,2.8,0,0,285000.0,335000.0,True,False,False,220000
3,1,1,4.5,2.6,0,1,240500.0,250000.0,False,True,False,260000
4,2,1,4.25,3.5,0,0,237500.0,237000.0,True,False,False,125500
10,4,3,4.0,3.0,0,1,215000.0,167500.0,False,True,False,105000
3,1,1,4.5,2.6,0,1,240000.0,200000.0,False,False,False,335000
6,2,2,4.25,3.3,0,1,385000.0,365000.0,False,True,False,348000
6,2,2,4.25,3.3,0,1,527500.0,461500.0,False,False,True,690000
6,2,2,4.25,3.3,0,1,385000.0,365000.0,False,True,False,445000
9,3,3,4.0,3.0,0,0,180000.0,210000.0,True,False,False,138000
6,2,2,4.25,3.3,0,1,315000.0,320000.0,False,False,True,315000
4,2,1,4.25,3.5,0,1,225000.0,222500.0,False,True,False,125000
10,4,3,4.0,3.0,0,1,230000.0,230000.0,False,False,False,205000
8,3,2,4.25,3.1,0,1,137500.0,137000.0,False,True,False,167000
12,4,0,4.0,2.8,0,1,505000.0,355000.0,False,True,False,548000
7,3,2,4.25,3.2,0,1,180000.0,210000.0,False,False,True,90000
8,3,2,4.25,3.1,0,1,365000.0,356415.0,True,False,False,215000
